meter_identifier,interval_start,interval_end,kWh_per_half_hour
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-20 00:00:00+00:00,2017-11-20 00:30:00+00:00,0.43200000000000005
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-20 00:30:00+00:00,2017-11-20 01:00:00+00:00,0.41100000000000003
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-20 01:00:00+00:00,2017-11-20 01:30:00+00:00,0.474
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-20 01:30:00+00:00,2017-11-20 02:00:00+00:00,0.436
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-20 02:00:00+00:00,2017-11-20 02:30:00+00:00,0.397
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-20 02:30:00+00:00,2017-11-20 03:00:00+00:00,0.494
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-20 03:00:00+00:00,2017-11-20 03:30:00+00:00,0.39899999999999997
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-20 03:30:00+00:00,2017-11-20 04:00:00+00:00,0.441
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-20 04:00:00+00:00,2017-11-20 04:30:00+00:00,0.491
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-20 04:30:00+00:00,2017-11-20 05:00:00+00:00,0.43700000000000006
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-20 05:00:00+00:00,2017-11-20 05:30:00+00:00,0.452
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-20 05:30:00+00:00,2017-11-20 06:00:00+00:00,0.494
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-20 06:00:00+00:00,2017-11-20 06:30:00+00:00,0.434
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-20 06:30:00+00:00,2017-11-20 07:00:00+00:00,0.485
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-20 07:00:00+00:00,2017-11-20 07:30:00+00:00,0.521
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-20 07:30:00+00:00,2017-11-20 08:00:00+00:00,0.5429999999999999
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-20 08:00:00+00:00,2017-11-20 08:30:00+00:00,0.096
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-20 08:30:00+00:00,2017-11-20 09:00:00+00:00,0.364
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-20 09:00:00+00:00,2017-11-20 09:30:00+00:00,0.405
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-20 09:30:00+00:00,2017-11-20 10:00:00+00:00,0.302
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-20 10:00:00+00:00,2017-11-20 10:30:00+00:00,0.257
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-20 10:30:00+00:00,2017-11-20 11:00:00+00:00,0.298
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-20 11:00:00+00:00,2017-11-20 11:30:00+00:00,0.24600000000000002
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-20 11:30:00+00:00,2017-11-20 12:00:00+00:00,0.305
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-20 12:00:00+00:00,2017-11-20 12:30:00+00:00,0.42
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-20 12:30:00+00:00,2017-11-20 13:00:00+00:00,0.373
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-20 13:00:00+00:00,2017-11-20 13:30:00+00:00,0.345
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-20 13:30:00+00:00,2017-11-20 14:00:00+00:00,0.581
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-20 14:00:00+00:00,2017-11-20 14:30:00+00:00,0.805
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-20 14:30:00+00:00,2017-11-20 15:00:00+00:00,0.619
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-20 15:00:00+00:00,2017-11-20 15:30:00+00:00,0.618
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-20 15:30:00+00:00,2017-11-20 16:00:00+00:00,0.746
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-20 16:00:00+00:00,2017-11-20 16:30:00+00:00,0.6829999999999999
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-20 16:30:00+00:00,2017-11-20 17:00:00+00:00,0.377
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-20 17:00:00+00:00,2017-11-20 17:30:00+00:00,0.341
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-20 17:30:00+00:00,2017-11-20 18:00:00+00:00,0.40299999999999997
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-20 18:00:00+00:00,2017-11-20 18:30:00+00:00,0.41700000000000004
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-20 18:30:00+00:00,2017-11-20 19:00:00+00:00,0.413
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-20 19:00:00+00:00,2017-11-20 19:30:00+00:00,0.3
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-20 19:30:00+00:00,2017-11-20 20:00:00+00:00,0.375
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-20 20:00:00+00:00,2017-11-20 20:30:00+00:00,0.098
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-20 20:30:00+00:00,2017-11-20 21:00:00+00:00,0.10400000000000001
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-20 21:00:00+00:00,2017-11-20 21:30:00+00:00,0.102
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-20 21:30:00+00:00,2017-11-20 22:00:00+00:00,0.16
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-20 22:00:00+00:00,2017-11-20 22:30:00+00:00,0.10300000000000001
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-20 22:30:00+00:00,2017-11-20 23:00:00+00:00,0.037000000000000005
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-20 23:00:00+00:00,2017-11-20 23:30:00+00:00,0.047
0eddf06181c82fa5af23db717d714c46709189c5,2017-11-20 23:30:00+00:00,2017-11-21 00:00:00+00:00,0.034
11d319ecbd3b2eefe316486a10c026d2641a5c91,2017-11-20 00:00:00+00:00,2017-11-20 00:30:00+00:00,0.11800000000000001
11d319ecbd3b2eefe316486a10c026d2641a5c91,2017-11-20 00:30:00+00:00,2017-11-20 01:00:00+00:00,0.16
11d319ecbd3b2eefe316486a10c026d2641a5c91,2017-11-20 01:00:00+00:00,2017-11-20 01:30:00+00:00,0.156
11d319ecbd3b2eefe316486a10c026d2641a5c91,2017-11-20 01:30:00+00:00,2017-11-20 02:00:00+00:00,0.152
11d319ecbd3b2eefe316486a10c026d2641a5c91,2017-11-20 02:00:00+00:00,2017-11-20 02:30:00+00:00,0.14300000000000002
11d319ecbd3b2eefe316486a10c026d2641a5c91,2017-11-20 02:30:00+00:00,2017-11-20 03:00:00+00:00,0.145
11d319ecbd3b2eefe316486a10c026d2641a5c91,2017-11-20 03:00:00+00:00,2017-11-20 03:30:00+00:00,0.141
11d319ecbd3b2eefe316486a10c026d2641a5c91,2017-11-20 03:30:00+00:00,2017-11-20 04:00:00+00:00,0.14
11d319ecbd3b2eefe316486a10c026d2641a5c91,2017-11-20 04:00:00+00:00,2017-11-20 04:30:00+00:00,0.141
11d319ecbd3b2eefe316486a10c026d2641a5c91,2017-11-20 04:30:00+00:00,2017-11-20 05:00:00+00:00,0.139
11d319ecbd3b2eefe316486a10c026d2641a5c91,2017-11-20 05:00:00+00:00,2017-11-20 05:30:00+00:00,0.107
11d319ecbd3b2eefe316486a10c026d2641a5c91,2017-11-20 05:30:00+00:00,2017-11-20 06:00:00+00:00,0.106
11d319ecbd3b2eefe316486a10c026d2641a5c91,2017-11-20 06:00:00+00:00,2017-11-20 06:30:00+00:00,0.105
11d319ecbd3b2eefe316486a10c026d2641a5c91,2017-11-20 06:30:00+00:00,2017-11-20 07:00:00+00:00,0.096
11d319ecbd3b2eefe316486a10c026d2641a5c91,2017-11-20 07:00:00+00:00,2017-11-20 07:30:00+00:00,0.18
11d319ecbd3b2eefe316486a10c026d2641a5c91,2017-11-20 07:30:00+00:00,2017-11-20 08:00:00+00:00,0.753
11d319ecbd3b2eefe316486a10c026d2641a5c91,2017-11-20 08:00:00+00:00,2017-11-20 08:30:00+00:00,0.745
11d319ecbd3b2eefe316486a10c026d2641a5c91,2017-11-20 08:30:00+00:00,2017-11-20 09:00:00+00:00,0.66
11d319ecbd3b2eefe316486a10c026d2641a5c91,2017-11-20 09:00:00+00:00,2017-11-20 09:30:00+00:00,0.612
11d319ecbd3b2eefe316486a10c026d2641a5c91,2017-11-20 09:30:00+00:00,2017-11-20 10:00:00+00:00,0.7390000000000001
11d319ecbd3b2eefe316486a10c026d2641a5c91,2017-11-20 10:00:00+00:00,2017-11-20 10:30:00+00:00,1.6480000000000001
11d319ecbd3b2eefe316486a10c026d2641a5c91,2017-11-20 10:30:00+00:00,2017-11-20 11:00:00+00:00,0.345
11d319ecbd3b2eefe316486a10c026d2641a5c91,2017-11-20 11:00:00+00:00,2017-11-20 11:30:00+00:00,0.4
11d319ecbd3b2eefe316486a10c026d2641a5c91,2017-11-20 11:30:00+00:00,2017-11-20 12:00:00+00:00,0.268
11d319ecbd3b2eefe316486a10c026d2641a5c91,2017-11-20 12:00:00+00:00,2017-11-20 12:30:00+00:00,0.264
11d319ecbd3b2eefe316486a10c026d2641a5c91,2017-11-20 12:30:00+00:00,2017-11-20 13:00:00+00:00,1.564
11d319ecbd3b2eefe316486a10c026d2641a5c91,2017-11-20 13:00:00+00:00,2017-11-20 13:30:00+00:00,1.037
11d319ecbd3b2eefe316486a10c026d2641a5c91,2017-11-20 13:30:00+00:00,2017-11-20 14:00:00+00:00,0.623
11d319ecbd3b2eefe316486a10c026d2641a5c91,2017-11-20 14:00:00+00:00,2017-11-20 14:30:00+00:00,0.574
11d319ecbd3b2eefe316486a10c026d2641a5c91,2017-11-20 14:30:00+00:00,2017-11-20 15:00:00+00:00,0.37799999999999995
